1,GLOBAL
102,ALERT BAY
103,GANGES
104,MAYNE ISLAND
105,CENTRAL SAANICH
106,SIDNEY
107,SOOKE
108,CAMPBELL RIVER
109,LANGFORD
114,PENDER ISLAND
115,PORT RENFREW
117,GALIANO ISLAND
119,LAKE COWICHAN
120,NANAIMO-SOUTH
122,NANAIMO-NORTH
124,PORT ALBERNI
126,PORT HARDY
129,PORT MCNEILL
130,PARKSVILLE
131,SAYWARD
132,SOINTULA
133,TAHSIS
134,UCLUELET
135,ZEBALLOS
136,TOFINO
137,MILL BAY
138,QUALICUM BEACH
140,VICTORIA-DOUGLAS
149,CHEMAINUS
150,COURTENAY
151,CUMBERLAND
152,DUNCAN
153,GABRIOLA ISLAND
155,GOLD RIVER
159,LADYSMITH
169,CORTES ISLAND
170,QUADRA ISLAND
171,DENMAN ISLAND
172,PORT ALICE
173,BOWSER
202,ABBOTSFORD
203,AGASSIZ
204,BOSTON BAR
205,ABBOTSFORD-MT LEHMAN
206,CHILLIWACK
214,HOPE
215,MISSION
219,PEMBERTON
222,SQUAMISH
224,WHISTLER
225,BOWEN ISLAND
226,BELLA BELLA
227,BELLA COOLA
228,TEXADA ISLAND
229,POWELL RIVER
233,LIONS BAY
235,SECHELT
240,BURNABY-DELESALLE
243,VANCOUVER-ARBUTUS ST
244,VANCOUVER-W 59TH
245,VANCOUVER-VICTORIA DR
246,VANCOUVER-BATTISON
247,NEW WEST-ROUSSEAU
248,VANCOUVER-POWELL ST
249,SURREY
250,RICHMOND
251,DELTA
252,LANGLEY
253,CLOVERDALE
254,WHITE ROCK
255,WEST VANCOUVER
256,NORTH VANCOUVER
257,MAPLE RIDGE
258,BURNABY NORTH
259,COQUITLAM
260,NEW WESTMINSTER-12TH
261,VANCOUVER-W 7TH
262,VANCOUVER-UBC
263,PORT COQUITLAM
265,MADEIRA PARK
266,NORTH DELTA
267,NORTH LANGLEY
268,GIBSONS
269,SOUTH RICHMOND
270,RICHMOND-AIRPORT
302,ARMSTRONG
303,ASHCROFT
304,SETON PORTAGE
306,BARRIERE
307,CHASE
308,CLINTON
309,ANAHIM LAKE
311,ENDERBY
313,GOLD BRIDGE
314,KAMLOOPS-SOUTH
315,KAMLOOPS-NORTH
317,KEREMEOS
318,LILLOOET
319,LOGAN LAKE
320,LUMBY
321,LYTTON
324,MERRITT
326,OLIVER
327,100 MILE HOUSE
328,OSOYOOS
329,PENTICTON
330,PRINCETON
332,SALMON ARM
333,SICAMOUS
334,SUMMERLAND
335,CLEARWATER
336,REVELSTOKE
337,VERNON
338,BLUE RIVER
339,WEST KELOWNA
340,KELOWNA-LAWRENCE
341,KELOWNA-MILLS ROAD
342,PEACHLAND
343,LAKE COUNTRY-WINFIELD
348,WILLIAMS LAKE
353,ALEXIS CREEK
402,CASTLEGAR
403,CRANBROOK
404,CRESTON
405,ELKFORD
406,FERNIE
407,EDGEWOOD
408,GRAND FORKS
409,FIELD
410,GREENWOOD
411,INVERMERE
412,KASLO
413,GOLDEN
414,KIMBERLEY
415,MIDWAY
417,FRUITVALE
419,NAKUSP
421,NELSON
422,NEW DENVER
423,RIONDEL
424,ROSSLAND
426,SALMO
427,WINLAW
428,SPARWOOD
431,TRAIL
503,BEAR LAKE
525,MCBRIDE
531,PRINCE GEORGE-EDMONTON
532,MACKENZIE
533,VALEMOUNT
535,PRINCE GEORGE-HART HWY
538,QUESNEL
550,WELLS
623,KITIMAT
643,STEWART
645,TERRACE
651,PORT CLEMENTS
674,KITWANGA
679,HAZELTON
681,SANDSPIT
684,PRINCE RUPERT
687,QUEEN CHARLOTTE CITY
690,MASSET
751,ATLIN
753,BURNS LAKE
757,DEASE LAKE
761,FORT ST JAMES
763,FRASER LAKE
765,GRANISLE
767,HOUSTON
769,SMITHERS
771,VANDERHOOF
773,SOUTHSIDE
852,CHETWYND
856,DAWSON CREEK
858,FORT NELSON
860,FORT ST JOHN
862,HUDSONS HOPE
868,TUMBLER RIDGE
